trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.4, 'e': 0.685249233112041}",25,9,-94.99513346894099,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
152,False,"{'a': 0.4, 'e': 0.683536110029261}",20,0,-99.07249738883988,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
153,False,"{'a': 0.4, 'e': 0.6818272697541878}",25,0,-86.07902873254322,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.4, 'e': 0.6801227015798024}",25,0,-133.12230032143813,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
155,False,"{'a': 0.4, 'e': 0.6784223948258529}",30,11,-38.97135328918846,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.6767263388387883}",20,1,-35.1122943955943,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': 0.6750345229916914}",20,0,-67.74771151011434,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
158,False,"{'a': 0.4, 'e': 0.6733469366842122}",30,9,-36.814747629819145,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.4, 'e': 0.6716635693425017}",30,0,-66.80546692390757,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.4, 'e': 0.6699844104191455}",30,13,20.311389868464502,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': 0.6683094493930977}",25,0,-181.13846356118495,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
162,False,"{'a': 0.4, 'e': 0.6666386757696149}",25,16,-63.151592384045806,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 1}",1
163,False,"{'a': 0.4, 'e': 0.664972079080191}",25,6,-18.387585489339063,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.6633096488824904}",30,8,-61.3158746760714,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.6616513747602843}",20,0,-98.27073859884655,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
